,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
5,3408,USDC,USDC,usd-coin,18759,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33349867121.148773,33349867121.148773,False,,6,,,,2024-04-30T07:37:00.000Z,1.0001428130485568,6145306676.551878,32.0557,0.00650824,0.0138527,0.01391769,0.01259965,0.01435333,-0.00625173,33354629917.34131,1.4302,33354629917.34,,2024-04-30T07:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-30 07:38:52.853575
6,52,XRP,XRP,xrp,1307,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55235913166.0,99987652657.0,False,,7,,,,2024-04-30T07:38:00.000Z,0.5121863683567256,1004012357.3305887,18.9504,0.05455768,2.10545045,-6.63080363,-18.31480568,-12.62728652,-0.01050346,28291081767.360985,1.2131,51218636835.67,,2024-04-30T07:38:00.000Z,,,,,,2024-04-30 07:38:52.853575
7,74,Dogecoin,DOGE,dogecoin,958,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144095246383.70526,144095246383.70526,True,,8,,,,2024-04-30T07:38:00.000Z,0.14238958814704214,941755252.1114646,22.3878,-0.23368289,0.70245578,-9.41717866,-31.01259879,19.69437274,78.66295698,20517662786.522354,0.8797,20517662786.52,,2024-04-30T07:38:00.000Z,,,,,,2024-04-30 07:38:52.853575
8,11419,Toncoin,TON,toncoin,304,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3472668672.564878,5105932466.036763,True,,9,3414166606.0,18289062350.065983,,2024-04-30T07:37:00.000Z,5.356816014170218,124301712.89989935,1.2313,0.45295455,2.34471499,-3.65554047,3.46307503,98.46241085,156.22056046,18602447157.10277,0.7976,27351540801.34,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
9,2010,Cardano,ADA,cardano,1157,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35643139069.372,36841202420.119,False,,10,,,,2024-04-30T07:37:00.000Z,0.4538011461810824,278649164.55177146,2.1077,-0.07418868,0.93683022,-10.60038263,-30.35575129,-31.97734506,-11.13217622,16174897363.172733,0.6935,20421051578.15,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
10,5994,Shiba Inu,SHIB,shiba-inu,802,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-30T07:37:00.000Z,2.390623104617366e-05,504775881.32408404,19.3877,-0.20835069,1.99512377,-9.66866179,-21.59984501,87.17475505,162.57961304,14087688807.951738,0.604,14093538081.25,,2024-04-30T07:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-30 07:38:52.853575
11,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,379123404.4827314,437813044.4827314,False,,12,,,,2024-04-30T07:37:00.000Z,34.81423776499534,450847831.6316746,67.7702,-0.0623834,4.9201706,-8.88740999,-35.50765336,-17.55715083,-0.22413202,13198892345.936312,0.5659,24918246083.26,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
12,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87549522670.73059,87549545300.25525,True,,13,71659659264.0,8643190337.107687,,2024-04-30T07:37:00.000Z,0.12061444927145792,347588386.56561977,28.6057,0.23587266,1.35534069,8.02549149,-1.45108011,-14.45257651,6.9156422,10559737460.909191,0.4526,10559740190.36,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
13,6636,Polkadot,DOT,polkadot-new,753,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,,,,2024-04-30T07:38:00.000Z,6.57561057847823,163787765.45493862,20.5158,-0.10914288,0.10322836,-10.35556431,-31.21634512,-21.67159891,-4.28427703,9455421794.663504,0.4054,9455421794.66,,2024-04-30T07:38:00.000Z,,,,,,2024-04-30 07:38:52.853575
14,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19699178.125,19699178.125,False,,15,,,,2024-04-30T07:37:00.000Z,461.0450628366438,311233744.3479415,13.6513,-0.14293915,1.2853075,-9.18335112,-22.14238408,46.04093228,94.79860757,9082208816.470863,0.3894,9681946319.57,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
